FECHA,TEMPERATURA,HUMEDAD
2019-01-09 22:00:00,7.2,53.0
2019-01-09 23:00:00,6.2,55.0
2019-01-10 00:00:00,5.8,56.0
2019-01-10 01:00:00,5.0,57.0
2019-01-10 02:00:00,4.5,58.0
2019-01-10 03:00:00,4.0,60.0
2019-01-10 04:00:00,4.0,59.0
2019-01-10 05:00:00,2.4,68.0
2019-01-10 06:00:00,1.6,73.0
2019-01-10 07:00:00,2.1,70.0
2019-01-10 08:00:00,3.1,65.0
2019-01-10 09:00:00,3.5,63.0
2019-01-10 10:00:00,4.7,57.0
2019-01-10 11:00:00,6.1,52.0
2019-01-10 12:00:00,7.3,47.0
2019-01-10 13:00:00,8.7,41.0
2019-01-10 14:00:00,10.4,36.0
2019-01-10 15:00:00,11.0,32.0
2019-01-10 16:00:00,10.7,28.0
2019-01-10 17:00:00,9.0,34.0
2019-01-10 18:00:00,7.0,40.0
2019-01-10 19:00:00,5.5,45.0
2019-01-10 20:00:00,4.9,48.0
2019-01-10 21:00:00,3.8,52.0
2019-01-10 22:00:00,3.2,52.0
2019-01-10 23:00:00,2.8,48.0
2019-01-11 00:00:00,2.1,48.0
2019-01-11 01:00:00,1.4,51.0
2019-01-11 02:00:00,1.5,46.0
2019-01-11 03:00:00,1.3,46.0
2019-01-11 04:00:00,1.1,44.0
2019-01-11 05:00:00,-0.2,51.0
2019-01-11 06:00:00,-1.0,60.0
2019-01-11 07:00:00,-0.8,59.0
2019-01-11 08:00:00,-0.7,59.0
2019-01-11 09:00:00,0.2,52.0
2019-01-11 10:00:00,2.8,44.0
2019-01-11 11:00:00,4.4,41.0
2019-01-11 12:00:00,5.5,38.0
2019-01-11 13:00:00,6.5,36.0
2019-01-11 14:00:00,8.3,33.0
2019-01-11 15:00:00,8.8,32.0
2019-01-11 16:00:00,9.6,31.0
2019-01-11 17:00:00,8.6,33.0
2019-01-11 18:00:00,7.2,38.0
2019-01-11 19:00:00,6.0,43.0
2019-01-11 20:00:00,5.6,45.0
2019-01-11 21:00:00,5.1,49.0
2019-01-11 22:00:00,4.7,52.0
2019-01-11 23:00:00,4.9,53.0
2019-01-12 00:00:00,3.1,60.0
2019-01-12 01:00:00,1.7,66.0
2019-01-12 02:00:00,2.0,64.0
2019-01-12 03:00:00,2.0,65.0
2019-01-12 04:00:00,0.9,69.0
2019-01-12 05:00:00,0.9,69.0
2019-01-12 06:00:00,1.3,70.0
2019-01-12 07:00:00,0.5,74.0
2019-01-12 08:00:00,0.4,74.0
2019-01-12 09:00:00,2.6,66.0
2019-01-12 10:00:00,4.6,58.0
2019-01-12 11:00:00,5.9,56.0
2019-01-12 12:00:00,7.5,52.0
2019-01-12 13:00:00,9.9,44.0
2019-01-12 14:00:00,11.2,40.0
2019-01-12 15:00:00,11.9,38.0
2019-01-12 16:00:00,12.0,38.0
2019-01-12 17:00:00,10.6,41.0
2019-01-12 18:00:00,8.7,47.0
2019-01-12 19:00:00,7.7,52.0
2019-01-12 20:00:00,7.1,54.0
2019-01-12 21:00:00,6.2,58.0
2019-01-12 22:00:00,5.0,63.0
2019-01-12 23:00:00,4.3,68.0
2019-01-13 00:00:00,4.1,69.0
2019-01-13 01:00:00,4.6,67.0
2019-01-13 02:00:00,2.9,73.0
2019-01-13 03:00:00,2.7,73.0
2019-01-13 04:00:00,1.5,77.0
2019-01-13 05:00:00,1.0,79.0
2019-01-13 06:00:00,1.8,75.0
2019-01-13 07:00:00,1.0,78.0
2019-01-13 08:00:00,0.9,78.0
2019-01-13 09:00:00,1.9,73.0
2019-01-13 10:00:00,3.7,66.0
2019-01-13 11:00:00,6.4,56.0
2019-01-13 12:00:00,7.9,52.0
2019-01-13 13:00:00,9.5,48.0
2019-01-13 14:00:00,12.2,40.0
2019-01-13 15:00:00,13.3,36.0
2019-01-13 16:00:00,14.0,36.0
2019-01-13 17:00:00,12.9,39.0
2019-01-13 18:00:00,10.1,48.0
2019-01-13 19:00:00,8.8,55.0
2019-01-13 20:00:00,7.8,60.0
2019-01-13 21:00:00,6.9,65.0
2019-01-13 22:00:00,6.0,69.0
2019-01-13 23:00:00,5.6,71.0
2019-01-14 00:00:00,5.3,72.0
2019-01-14 01:00:00,4.8,70.0
2019-01-14 02:00:00,4.4,66.0
2019-01-14 03:00:00,3.2,72.0
2019-01-14 04:00:00,2.5,76.0
2019-01-14 05:00:00,2.3,79.0
2019-01-14 06:00:00,3.3,73.0
2019-01-14 07:00:00,3.5,71.0
2019-01-14 08:00:00,2.4,77.0
2019-01-14 09:00:00,2.7,75.0
2019-01-14 10:00:00,5.6,64.0
2019-01-14 11:00:00,7.8,56.0
2019-01-14 12:00:00,10.0,50.0
2019-01-14 13:00:00,12.7,43.0
2019-01-14 14:00:00,15.5,37.0
2019-01-14 15:00:00,16.2,37.0
2019-01-14 16:00:00,16.9,37.0
2019-01-14 17:00:00,15.8,39.0
2019-01-14 18:00:00,12.0,49.0
2019-01-14 19:00:00,10.7,55.0
2019-01-14 20:00:00,10.2,58.0
2019-01-14 21:00:00,10.2,57.0
2019-01-14 22:00:00,9.0,61.0
2019-01-14 23:00:00,8.5,59.0
2019-01-15 00:00:00,7.0,62.0
2019-01-15 01:00:00,5.2,69.0
2019-01-15 02:00:00,4.3,70.0
2019-01-15 03:00:00,6.2,63.0
2019-01-15 04:00:00,6.4,60.0
2019-01-15 05:00:00,6.3,60.0
2019-01-15 06:00:00,5.8,63.0
2019-01-15 07:00:00,5.5,65.0
2019-01-15 08:00:00,5.4,65.0
2019-01-15 09:00:00,5.7,62.0
2019-01-15 10:00:00,7.2,55.0
2019-01-15 11:00:00,8.8,50.0
2019-01-15 12:00:00,10.4,45.0
2019-01-15 13:00:00,12.6,40.0
2019-01-15 14:00:00,14.6,35.0
2019-01-15 15:00:00,15.4,33.0
2019-01-15 16:00:00,15.4,33.0
2019-01-15 17:00:00,14.5,35.0
2019-01-15 18:00:00,11.6,41.0
2019-01-15 19:00:00,10.0,45.0
2019-01-15 20:00:00,9.1,49.0
2019-01-15 21:00:00,8.4,53.0
2019-01-15 22:00:00,7.9,57.0
2019-01-15 23:00:00,6.6,62.0
2019-01-16 00:00:00,4.9,70.0
2019-01-16 01:00:00,5.6,61.0
2019-01-16 02:00:00,5.6,61.0
2019-01-16 03:00:00,4.4,68.0
2019-01-16 04:00:00,4.0,70.0
2019-01-16 05:00:00,2.6,76.0
2019-01-16 06:00:00,2.7,77.0
2019-01-16 07:00:00,2.5,77.0
2019-01-16 08:00:00,2.9,73.0
2019-01-16 09:00:00,3.2,73.0
2019-01-16 10:00:00,5.0,66.0
2019-01-16 11:00:00,6.8,61.0
2019-01-16 12:00:00,8.4,56.0
2019-01-16 13:00:00,9.6,53.0
2019-01-16 14:00:00,11.5,49.0
2019-01-16 15:00:00,11.8,50.0
2019-01-16 16:00:00,11.4,53.0
2019-01-16 17:00:00,9.5,62.0
2019-01-16 18:00:00,7.6,74.0
2019-01-16 19:00:00,6.2,81.0
2019-01-16 20:00:00,5.5,82.0
2019-01-16 21:00:00,5.0,85.0
2019-01-16 22:00:00,4.9,86.0
2019-01-16 23:00:00,4.9,86.0
2019-01-17 00:00:00,4.4,87.0
2019-01-17 01:00:00,4.1,89.0
2019-01-17 02:00:00,4.4,87.0
2019-01-17 03:00:00,4.0,88.0
2019-01-17 04:00:00,4.0,89.0
2019-01-17 05:00:00,3.9,89.0
2019-01-17 06:00:00,4.0,88.0
2019-01-17 07:00:00,4.0,88.0
2019-01-17 08:00:00,4.2,87.0
2019-01-17 09:00:00,4.3,88.0
2019-01-17 10:00:00,4.9,85.0
2019-01-17 11:00:00,5.1,85.0
2019-01-17 12:00:00,5.7,82.0
2019-01-17 13:00:00,6.3,78.0
2019-01-17 14:00:00,7.7,72.0
2019-01-17 15:00:00,8.3,68.0
2019-01-17 16:00:00,8.5,63.0
2019-01-17 17:00:00,8.2,65.0
2019-01-17 18:00:00,7.8,67.0
2019-01-17 19:00:00,7.2,70.0
2019-01-17 20:00:00,7.3,60.0
2019-01-17 21:00:00,6.7,61.0
2019-01-17 22:00:00,6.2,58.0
2019-01-17 23:00:00,5.1,63.0
2019-01-18 00:00:00,4.6,64.0
2019-01-18 01:00:00,4.2,64.0
2019-01-18 02:00:00,2.6,72.0
2019-01-18 03:00:00,2.1,76.0
2019-01-18 04:00:00,2.1,74.0
2019-01-18 05:00:00,2.6,70.0
2019-01-18 06:00:00,1.3,78.0
2019-01-18 07:00:00,0.8,80.0
2019-01-18 08:00:00,0.4,82.0
2019-01-18 09:00:00,1.2,79.0
2019-01-18 10:00:00,2.7,71.0
2019-01-18 11:00:00,3.9,66.0
2019-01-18 12:00:00,5.0,61.0
2019-01-18 13:00:00,6.1,59.0
2019-01-18 14:00:00,8.4,52.0
2019-01-18 15:00:00,8.4,52.0
2019-01-18 16:00:00,8.5,50.0
2019-01-18 17:00:00,7.7,52.0
2019-01-18 18:00:00,6.6,57.0
2019-01-18 19:00:00,6.0,61.0
2019-01-18 20:00:00,5.5,64.0
2019-01-18 21:00:00,4.8,67.0
2019-01-18 22:00:00,4.4,68.0
2019-01-18 23:00:00,3.9,71.0
2019-01-19 00:00:00,3.4,74.0
2019-01-19 01:00:00,3.1,75.0
2019-01-19 02:00:00,1.9,81.0
2019-01-19 03:00:00,1.1,84.0
2019-01-19 04:00:00,0.5,84.0
2019-01-19 05:00:00,0.6,86.0
2019-01-19 06:00:00,0.5,88.0
2019-01-19 07:00:00,-0.1,88.0
2019-01-19 08:00:00,0.0,90.0
2019-01-19 09:00:00,1.0,86.0
2019-01-19 10:00:00,1.9,84.0
2019-01-19 11:00:00,1.9,88.0
2019-01-19 12:00:00,2.6,87.0
2019-01-19 13:00:00,4.2,77.0
2019-01-19 14:00:00,4.7,81.0
2019-01-19 15:00:00,4.0,89.0
2019-01-19 16:00:00,3.8,92.0
2019-01-19 17:00:00,3.7,95.0
2019-01-19 18:00:00,3.8,97.0
2019-01-19 19:00:00,3.9,98.0
2019-01-19 20:00:00,4.0,98.0
2019-01-19 21:00:00,4.0,98.0
2019-01-19 22:00:00,4.1,98.0
2019-01-19 23:00:00,3.9,99.0
2019-01-20 00:00:00,4.2,99.0
2019-01-20 01:00:00,4.5,98.0
2019-01-20 02:00:00,4.8,98.0
2019-01-20 03:00:00,4.8,97.0
2019-01-20 04:00:00,4.3,96.0
2019-01-20 05:00:00,4.0,95.0
2019-01-20 06:00:00,4.3,93.0
2019-01-20 07:00:00,4.6,91.0
2019-01-20 08:00:00,4.6,89.0
2019-01-20 09:00:00,5.6,80.0
2019-01-20 10:00:00,7.2,69.0
2019-01-20 11:00:00,8.2,58.0
2019-01-20 12:00:00,9.3,53.0
2019-01-20 13:00:00,10.2,49.0
2019-01-20 14:00:00,10.9,48.0
2019-01-20 15:00:00,10.5,48.0
2019-01-20 16:00:00,9.7,47.0
2019-01-20 17:00:00,9.0,49.0
2019-01-20 18:00:00,8.5,51.0
2019-01-20 19:00:00,8.3,54.0
2019-01-20 20:00:00,7.5,58.0
2019-01-20 21:00:00,6.9,61.0
2019-01-20 22:00:00,6.4,63.0
2019-01-20 23:00:00,6.2,63.0
2019-01-21 00:00:00,6.0,62.0
2019-01-21 01:00:00,5.0,69.0
2019-01-21 02:00:00,4.3,71.0
2019-01-21 03:00:00,4.2,72.0
2019-01-21 04:00:00,3.7,73.0
2019-01-21 05:00:00,4.2,71.0
2019-01-21 06:00:00,2.8,78.0
2019-01-21 07:00:00,4.6,67.0
2019-01-21 08:00:00,5.1,65.0
2019-01-21 09:00:00,5.5,63.0
2019-01-21 10:00:00,7.1,57.0
2019-01-21 11:00:00,8.2,51.0
2019-01-21 12:00:00,8.9,50.0
2019-01-21 13:00:00,10.4,44.0
2019-01-21 14:00:00,11.3,36.0
2019-01-21 15:00:00,11.2,35.0
2019-01-21 16:00:00,10.8,35.0
2019-01-21 17:00:00,9.5,38.0
2019-01-21 18:00:00,7.2,43.0
2019-01-21 19:00:00,6.3,46.0
2019-01-21 20:00:00,5.7,47.0
2019-01-21 21:00:00,5.5,49.0
2019-01-21 22:00:00,4.9,52.0
2019-01-21 23:00:00,3.4,60.0
2019-01-22 00:00:00,3.4,63.0
2019-01-22 01:00:00,2.7,65.0
2019-01-22 02:00:00,2.2,67.0
2019-01-22 03:00:00,2.5,63.0
2019-01-22 04:00:00,2.2,65.0
2019-01-22 05:00:00,1.7,71.0
2019-01-22 06:00:00,2.3,72.0
2019-01-22 07:00:00,2.9,71.0
2019-01-22 08:00:00,3.3,70.0
2019-01-22 09:00:00,3.6,70.0
2019-01-22 10:00:00,4.5,67.0
2019-01-22 11:00:00,5.9,63.0
2019-01-22 12:00:00,7.4,58.0
2019-01-22 13:00:00,8.1,55.0
2019-01-22 14:00:00,9.1,53.0
2019-01-22 15:00:00,7.6,65.0
2019-01-22 16:00:00,7.3,71.0
2019-01-22 17:00:00,6.5,77.0
2019-01-22 18:00:00,5.8,87.0
2019-01-22 19:00:00,5.6,86.0
2019-01-22 20:00:00,6.2,80.0
2019-01-22 21:00:00,7.0,72.0
2019-01-22 22:00:00,6.0,83.0
2019-01-22 23:00:00,5.9,85.0
2019-01-23 00:00:00,6.4,74.0
2019-01-23 01:00:00,6.1,75.0
2019-01-23 02:00:00,6.2,73.0
2019-01-23 03:00:00,6.4,72.0
2019-01-23 04:00:00,6.7,71.0
2019-01-23 05:00:00,6.7,72.0
2019-01-23 06:00:00,7.0,72.0
2019-01-23 07:00:00,7.1,72.0
2019-01-23 08:00:00,7.1,73.0
2019-01-23 09:00:00,7.5,72.0
2019-01-23 10:00:00,9.1,67.0
2019-01-23 11:00:00,11.8,56.0
2019-01-23 12:00:00,12.4,54.0
2019-01-23 13:00:00,13.6,51.0
2019-01-23 14:00:00,13.3,52.0
2019-01-23 15:00:00,13.0,53.0
2019-01-23 16:00:00,12.3,56.0
2019-01-23 17:00:00,12.1,56.0
2019-01-23 18:00:00,12.1,56.0
2019-01-23 19:00:00,12.0,56.0
2019-01-23 20:00:00,12.0,56.0
2019-01-23 21:00:00,11.7,56.0
2019-01-23 22:00:00,11.3,57.0
2019-01-23 23:00:00,11.1,59.0
2019-01-24 00:00:00,11.3,57.0
2019-01-24 01:00:00,11.0,57.0
2019-01-24 02:00:00,10.3,60.0
2019-01-24 03:00:00,10.5,59.0
2019-01-24 04:00:00,10.4,61.0
2019-01-24 05:00:00,10.3,62.0
2019-01-24 06:00:00,10.4,63.0
2019-01-24 07:00:00,10.7,60.0
2019-01-24 08:00:00,9.8,64.0
2019-01-24 09:00:00,10.3,62.0
2019-01-24 10:00:00,13.0,53.0
2019-01-24 11:00:00,14.4,49.0
2019-01-24 12:00:00,15.7,45.0
2019-01-24 13:00:00,15.9,43.0
2019-01-24 14:00:00,15.3,46.0
2019-01-24 15:00:00,14.9,48.0
2019-01-24 16:00:00,14.7,48.0
2019-01-24 17:00:00,15.1,48.0
2019-01-24 18:00:00,13.3,56.0
2019-01-24 19:00:00,11.8,62.0
2019-01-24 20:00:00,11.1,65.0
2019-01-24 21:00:00,10.5,67.0
2019-01-24 22:00:00,10.6,66.0
2019-01-24 23:00:00,9.6,69.0
2019-01-25 00:00:00,10.1,66.0
2019-01-25 01:00:00,9.3,70.0
2019-01-25 02:00:00,8.5,75.0
2019-01-25 03:00:00,8.1,77.0
2019-01-25 04:00:00,7.7,79.0
2019-01-25 05:00:00,7.6,79.0
2019-01-25 06:00:00,7.0,80.0
2019-01-25 07:00:00,6.7,80.0
2019-01-25 08:00:00,7.3,75.0
2019-01-25 09:00:00,9.1,66.0
2019-01-25 10:00:00,11.9,53.0
2019-01-25 11:00:00,13.0,47.0
2019-01-25 12:00:00,14.5,41.0
2019-01-25 13:00:00,15.2,38.0
2019-01-25 14:00:00,16.9,30.0
2019-01-25 15:00:00,17.3,28.0
2019-01-25 16:00:00,17.1,29.0
2019-01-25 17:00:00,15.7,32.0
2019-01-25 18:00:00,13.7,37.0
2019-01-25 19:00:00,11.7,43.0
2019-01-25 20:00:00,10.4,49.0
2019-01-25 21:00:00,9.4,57.0
2019-01-25 22:00:00,9.0,59.0
2019-01-25 23:00:00,8.6,60.0
2019-01-26 00:00:00,7.7,62.0
2019-01-26 01:00:00,7.4,63.0
2019-01-26 02:00:00,6.2,69.0
2019-01-26 03:00:00,5.3,73.0
2019-01-26 04:00:00,5.6,71.0
2019-01-26 05:00:00,5.5,71.0
2019-01-26 06:00:00,4.3,78.0
2019-01-26 07:00:00,4.2,78.0
2019-01-26 08:00:00,4.4,76.0
2019-01-26 09:00:00,4.7,73.0
2019-01-26 10:00:00,6.9,64.0
2019-01-26 11:00:00,8.9,56.0
2019-01-26 12:00:00,9.9,54.0
2019-01-26 13:00:00,11.7,49.0
2019-01-26 14:00:00,13.2,46.0
2019-01-26 15:00:00,15.2,40.0
2019-01-26 16:00:00,14.6,42.0
2019-01-26 17:00:00,14.8,42.0
2019-01-26 18:00:00,12.1,48.0
2019-01-26 19:00:00,10.6,55.0
2019-01-26 20:00:00,9.8,57.0
2019-01-26 21:00:00,9.1,60.0
2019-01-26 22:00:00,8.1,64.0
2019-01-26 23:00:00,7.2,67.0
2019-01-27 00:00:00,6.5,70.0
2019-01-27 01:00:00,5.7,74.0
2019-01-27 02:00:00,5.4,78.0
2019-01-27 03:00:00,5.0,81.0
2019-01-27 04:00:00,4.6,82.0
2019-01-27 05:00:00,3.8,84.0
2019-01-27 06:00:00,4.0,80.0
2019-01-27 07:00:00,7.0,64.0
2019-01-27 08:00:00,7.7,65.0
2019-01-27 09:00:00,8.3,62.0
2019-01-27 10:00:00,8.8,59.0
2019-01-27 11:00:00,9.6,54.0
2019-01-27 12:00:00,11.1,45.0
2019-01-27 13:00:00,12.4,34.0
2019-01-27 14:00:00,13.0,35.0
2019-01-27 15:00:00,14.0,32.0
2019-01-27 16:00:00,13.4,32.0
2019-01-27 17:00:00,11.8,36.0
2019-01-27 18:00:00,9.7,43.0
2019-01-27 19:00:00,8.9,48.0
2019-01-27 20:00:00,8.4,52.0
2019-01-27 21:00:00,8.0,54.0
2019-01-27 22:00:00,7.3,56.0
2019-01-27 23:00:00,6.7,56.0
2019-01-28 00:00:00,6.5,55.0
2019-01-28 01:00:00,6.3,55.0
2019-01-28 02:00:00,6.0,55.0
2019-01-28 03:00:00,5.6,53.0
2019-01-28 04:00:00,6.1,50.0
2019-01-28 05:00:00,5.8,56.0
2019-01-28 06:00:00,5.6,57.0
2019-01-28 07:00:00,4.8,61.0
2019-01-28 08:00:00,4.6,66.0
2019-01-28 09:00:00,5.6,65.0
2019-01-28 10:00:00,7.7,58.0
2019-01-28 11:00:00,10.3,51.0
2019-01-28 12:00:00,12.1,46.0
2019-01-28 13:00:00,13.6,40.0
2019-01-28 14:00:00,14.0,42.0
2019-01-28 15:00:00,14.6,41.0
